task,layer,scalar_mix_weight,scalar_mix_logit,cumulative_major,cumulative_f1_micro,cumulative_acc,differential_from_previous,contextual_differential_from_previous,normalized_differential_all,normalized_differential_contextual,positive_normalized_differential,cumulative_run_name
dep,0,0.01629745028913021,-0.7633024454116821,0.86100195562098,0.7300347430214448,0.9919691682205154,0.86100195562098,0.0,0.904499123231598,0.0,0.0,tenney_cumulative_l00_ms256_dep_lr1e4_e3_noearly
dep,1,0.01602627895772457,-0.7800813317298889,0.881330113684482,0.7697174090010467,0.9929428183679172,0.020328158063501967,0.020328158063501967,0.02135512123441086,0.22361178197556128,0.22241080832339777,tenney_cumulative_l01_ms256_dep_lr1e4_e3_noearly
dep,2,0.015329625457525253,-0.8245238065719604,0.8880531806767591,0.7828328155563227,0.9932735457971956,0.006723066992277094,0.006723066992277094,0.007062711251980984,0.07395441268155764,0.07355721848943102,tenney_cumulative_l02_ms256_dep_lr1e4_e3_noearly
dep,3,0.01553076971322298,-0.8114879131317139,0.8924249629247534,0.7913461538461538,0.9935037720033529,0.0043717822479942825,0.0043717822479942825,0.004592641380725267,0.048090044155959154,0.04783176225572816,tenney_cumulative_l03_ms256_dep_lr1e4_e3_noearly
dep,4,0.017113778740167618,-0.7144272327423096,0.9019311842459643,0.8098503881759127,0.9940119803160158,0.009506221321210928,0.009506221321210928,0.009986468432675522,0.10456939004752365,0.10400776900430148,tenney_cumulative_l04_ms256_dep_lr1e4_e3_noearly
dep,5,0.019153309985995293,-0.6018354296684265,0.9087133379698182,0.8230461911388427,0.9943804848007938,0.006782153723853934,0.006782153723853934,0.0071247830005489975,0.07460437266798313,0.07420368767223355,tenney_cumulative_l05_ms256_dep_lr1e4_e3_noearly
dep,6,0.020031914114952087,-0.5569844245910645,0.9143329598753434,0.8339825057312649,0.9946834140194217,0.005619621905525118,0.005619621905525118,0.005903520953996652,0.06181640581492468,0.06148440240258532,tenney_cumulative_l06_ms256_dep_lr1e4_e3_noearly
dep,7,0.03311116248369217,-0.05444077029824257,0.9187506165905822,0.8425733374629442,0.9949278957182203,0.00441765671523886,0.00441765671523886,0.004640833391359565,0.04859466790670405,0.04833367577437551,tenney_cumulative_l07_ms256_dep_lr1e4_e3_noearly
dep,8,0.024084430187940598,-0.37274548411369324,0.9192426167760488,0.8435259757500664,0.9949592578020311,0.000492000185466579,0.000492000185466579,0.0005168556627299961,0.005412051493343,0.005382984459440612,tenney_cumulative_l08_ms256_dep_lr1e4_e3_noearly
dep,9,0.033934637904167175,-0.02987479604780674,0.9206779627709195,0.846321826403441,0.995034099138398,0.0014353459948707181,0.0014353459948707181,0.0015078585889601148,0.01578895021683208,0.015704150958768794,tenney_cumulative_l09_ms256_dep_lr1e4_e3_noearly
dep,10,0.041820649057626724,0.17907913029193878,0.923959874177559,0.8526981894884865,0.9952215588666313,0.0032819114066394706,0.0032819114066394706,0.003447711088749179,0.03610135535310508,0.035907462275542604,tenney_cumulative_l10_ms256_dep_lr1e4_e3_noearly
dep,11,0.06733188033103943,0.6553227305412292,0.9323638404522101,0.8690292758089369,0.9956984050954832,0.00840396627465112,0.00840396627465112,0.008828528294813821,0.09244447374262096,0.09194797317242676,tenney_cumulative_l11_ms256_dep_lr1e4_e3_noearly
dep,12,0.08108854293823242,0.841230571269989,0.9361306224174268,0.87634187960343,0.9959193652314237,0.0037667819652167367,0.0037667819652167367,0.003957076941231647,0.04143498023403392,0.04121244133604138,tenney_cumulative_l12_ms256_dep_lr1e4_e3_noearly
dep,13,0.09594742208719254,1.0094892978668213,0.9398188751155998,0.883500988736996,0.9961367614942037,0.003688252698172967,0.003688252698172967,0.0038745804350095664,0.040571150403213185,0.04035325096051948,tenney_cumulative_l13_ms256_dep_lr1e4_e3_noearly
dep,14,0.09727772325277328,1.023258924484253,0.9455876731253734,0.8946964529331515,0.9964788933175953,0.00576879800977359,0.00576879800977359,0.0060602333222078645,0.06345735795603699,0.06311654132165483,tenney_cumulative_l14_ms256_dep_lr1e4_e3_noearly
dep,15,0.09524424374103546,1.0021334886550903,0.9484488450986372,0.9002463054187192,0.9966513847785552,0.002861171973263854,0.002861171973263854,0.003005716217410316,0.03147317929550993,0.031304143215434975,tenney_cumulative_l15_ms256_dep_lr1e4_e3_noearly
dep,16,0.08744633197784424,0.9167141914367676,0.9497637504597565,0.9027948598329022,0.9967326410866106,0.001314905361119223,0.001314905361119223,0.0013813333854823646,0.014464091139521355,0.014386407431589742,tenney_cumulative_l16_ms256_dep_lr1e4_e3_noearly
dep,17,0.05705849826335907,0.48976585268974304,0.9509266690153944,0.9050529833541319,0.996800354676657,0.0011629185556378818,0.0011629185556378818,0.0012216683215377701,0.012792221002330928,0.012723516570745427,tenney_cumulative_l17_ms256_dep_lr1e4_e3_noearly
dep,18,0.03936067596077919,0.11845620721578598,0.9515965239495405,0.906348501195236,0.996844546703845,0.0006698549341461746,0.0006698549341461746,0.0007036954987989474,0.007368471605820651,0.007328897035209374,tenney_cumulative_l18_ms256_dep_lr1e4_e3_noearly
dep,19,0.031914494931697845,-0.09125076234340668,0.9514434321467853,0.9060565730823669,0.9968302912112037,-0.00015309180275524525,-0.00015309180275524525,-0.00016082588484505171,-0.00168402521827175,0.0,tenney_cumulative_l19_ms256_dep_lr1e4_e3_noearly
dep,20,0.03112940490245819,-0.11615826934576035,0.9518626783061374,0.9068651288665243,0.9968602277457504,0.0004192461593520713,0.0004192461593520713,0.0004404261582410315,0.004611749893240283,0.004586981117359079,tenney_cumulative_l20_ms256_dep_lr1e4_e3_noearly
dep,21,0.01895601861178875,-0.6121894717216492,0.9515248837796351,0.9062123486017459,0.9968374189575243,-0.0003377945265022886,-0.0003377945265022886,-0.00035485965050264265,-0.0037157737448129226,0.0,tenney_cumulative_l21_ms256_dep_lr1e4_e3_noearly
dep,22,0.015967179089784622,-0.783775806427002,0.9516898084072507,0.9065307934628639,0.9968488233516374,0.00016492462761563687,0.00016492462761563687,0.0001732564950680658,0.0018141874811079268,0.0018044438470934472,tenney_cumulative_l22_ms256_dep_lr1e4_e3_noearly
dep,23,0.0159540344029665,-0.7845994234085083,0.9517691831026676,0.9066852662059054,0.9968530999994297,7.937469541685616e-05,7.937469541685616e-05,8.33846449971665e-05,0.0008731296279025957,0.0008684402252746566,tenney_cumulative_l23_ms256_dep_lr1e4_e3_noearly
