task,layer,scalar_mix_weight,scalar_mix_logit,cumulative_major,cumulative_f1_micro,cumulative_acc,differential_from_previous,contextual_differential_from_previous,normalized_differential_all,normalized_differential_contextual,positive_normalized_differential,cumulative_run_name
ner,0,0.024904565885663033,-0.40043315291404724,0.9140342414815896,0.8439579943795297,0.9841104885836496,0.9140342414815896,0.0,0.9494362100681043,0.0,0.0,tenney_cumulative_l00_ms256_ner_lr1e4_e3_noearly
ner,1,0.025041956454515457,-0.3949316442012787,0.9249308456049063,0.8638735794761743,0.9859881117336385,0.010896604123316722,0.010896604123316722,0.011318646558234752,0.22384885653310033,0.2118211547430399,tenney_cumulative_l01_ms256_ner_lr1e4_e3_noearly
ner,2,0.024886786937713623,-0.4011473059654236,0.9276262438945861,0.8687773989283974,0.9864750888607747,0.0026953982896797957,0.0026953982896797957,0.002799795259999765,0.05537154678814234,0.05239635869588744,tenney_cumulative_l02_ms256_ner_lr1e4_e3_noearly
ner,3,0.024767432361841202,-0.4059547185897827,0.9304677164060335,0.8739683464414021,0.9869670863706649,0.002841472511447396,0.002841472511447396,0.002951527163696145,0.05837234842703743,0.05523592320450299,tenney_cumulative_l03_ms256_ner_lr1e4_e3_noearly
ner,4,0.02452385425567627,-0.41583800315856934,0.9352614048824033,0.882697237943211,0.9878255718215957,0.00479368847636974,0.00479368847636974,0.004979355490965272,0.09847670630844634,0.09318541970064446,tenney_cumulative_l04_ms256_ner_lr1e4_e3_noearly
ner,5,0.025158490985631943,-0.39028897881507874,0.9389009588484182,0.889358838796501,0.9884430789003353,0.0036395539660148968,0.0036395539660148968,0.0037805195549680316,0.07476732974446744,0.0707499800035158,tenney_cumulative_l05_ms256_ner_lr1e4_e3_noearly
ner,6,0.026710670441389084,-0.33042117953300476,0.9444076554092067,0.8993731757500358,0.9894421350683776,0.005506696560788504,0.005506696560788504,0.005719979488071956,0.11312402602289473,0.10704571911810506,tenney_cumulative_l06_ms256_ner_lr1e4_e3_noearly
ner,7,0.04207124188542366,0.12388008832931519,0.9480118438597526,0.9059389436586179,0.9900847440608872,0.0036041884505458865,0.0036041884505458865,0.0037437842780493297,0.07404081622623274,0.07006250303913762,tenney_cumulative_l07_ms256_ner_lr1e4_e3_noearly
ner,8,0.04336158186197281,0.15408942103385925,0.9492815903876068,0.9082525194903974,0.9903106612848164,0.0012697465278542763,0.0012697465278542763,0.0013189257868490704,0.026084393369751924,0.02468284363800418,tenney_cumulative_l08_ms256_ner_lr1e4_e3_noearly
ner,9,0.049944426864385605,0.29542651772499084,0.9512835092086116,0.9118999099568741,0.990667108460349,0.0020019188210047556,0.0020019188210047556,0.0020794562523148608,0.0411254032800088,0.03891567974463404,tenney_cumulative_l09_ms256_ner_lr1e4_e3_noearly
ner,10,0.04757815599441528,0.2468893826007843,0.9527673253893718,0.9145914212669255,0.990943229511818,0.0014838161807602113,0.0014838161807602113,0.0015412866905458046,0.030482024639010653,0.02884418423190059,tenney_cumulative_l10_ms256_ner_lr1e4_e3_noearly
ner,11,0.0517817921936512,0.33155420422554016,0.9556807179569144,0.9198810254473349,0.9914804104664939,0.0029133925675426386,0.0029133925675426386,0.0030262327954854638,0.05984980159836694,0.05663399081886003,tenney_cumulative_l11_ms256_ner_lr1e4_e3_noearly
ner,12,0.05224718898534775,0.34050172567367554,0.9569121735942843,0.9221280602636535,0.9916962869249152,0.001231455637369816,0.001231455637369816,0.001279151830588121,0.025297783894581632,0.023938499753729078,tenney_cumulative_l12_ms256_ner_lr1e4_e3_noearly
ner,13,0.052330177277326584,0.3420887887477875,0.9566932162385566,0.9217202678487221,0.9916661646283913,-0.00021895735572763364,-0.00021895735572763364,-0.0002274379148549277,-0.004498039311556024,0.0,tenney_cumulative_l13_ms256_ner_lr1e4_e3_noearly
ner,14,0.05436249449849129,0.3801901340484619,0.9572574673206213,0.9227433419750177,0.9917715926662248,0.000564251082064704,0.000564251082064704,0.0005861054045568049,0.011591405734147481,0.010968583828075753,tenney_cumulative_l14_ms256_ner_lr1e4_e3_noearly
ner,15,0.05662253871560097,0.42092275619506836,0.9601338323542363,0.9279639114703256,0.9923037532381469,0.0028763650336149915,0.0028763650336149915,0.0029877711275467997,0.05908914524743937,0.05591420556236362,tenney_cumulative_l15_ms256_ner_lr1e4_e3_noearly
ner,16,0.056169457733631134,0.4128887355327606,0.9597146752156872,0.9272009029345373,0.9922284474968371,-0.00041915713854911996,-0.00041915713854911996,-0.00043539174681464434,-0.008610741944009192,0.0,tenney_cumulative_l16_ms256_ner_lr1e4_e3_noearly
ner,17,0.05303005874156952,0.3553745746612549,0.9598115310558046,0.92737955346651,0.9922435086450991,9.685584011742687e-05,9.685584011742687e-05,0.00010060721753158111,0.001989708794912105,0.0018827990505206945,tenney_cumulative_l17_ms256_ner_lr1e4_e3_noearly
ner,18,0.05267025902867317,0.34856653213500977,0.9624605880205187,0.9321906902688021,0.9927304857722353,0.0026490569647140694,0.0026490569647140694,0.0027516590634020584,0.05441955729798463,0.05149552088848669,tenney_cumulative_l18_ms256_ner_lr1e4_e3_noearly
ner,19,0.051004473119974136,0.3164289593696594,0.9630371915088096,0.9332334488247963,0.9928409341928228,0.0005766034882909166,0.0005766034882909166,0.0005989362386988902,0.011845161122328767,0.011208704596076549,tenney_cumulative_l19_ms256_ner_lr1e4_e3_noearly
ner,20,0.05041663721203804,0.30483686923980713,0.9617363830657892,0.9308677899281926,0.9926049762033857,-0.0013008084430203848,-0.0013008084430203848,-0.0013511907783279053,-0.026722498059338934,0.0,tenney_cumulative_l20_ms256_ner_lr1e4_e3_noearly
ner,21,0.032951537519693375,-0.12044636160135269,0.9624097040060877,0.93208892223994,0.9927304857722353,0.000673320940298483,0.000673320940298483,0.0006993997081337572,0.013832027011341065,0.013088813493876122,tenney_cumulative_l21_ms256_ner_lr1e4_e3_noearly
ner,22,0.02758544124662876,-0.2981962561607361,0.9632507723892474,0.9336204475236402,0.9928810972548547,0.000841068383159671,0.000841068383159671,0.0008736442705044003,0.01727806146811997,0.016349687858946985,tenney_cumulative_l22_ms256_ner_lr1e4_e3_noearly
ner,23,0.025625374168157578,-0.37190142273902893,0.9624256216597911,0.9321207575473467,0.9927304857722353,-0.0008251507294563254,-0.0008251507294563254,-0.0008571101013021786,-0.01695106522783633,0.0,tenney_cumulative_l23_ms256_ner_lr1e4_e3_noearly
ner,24,0.02425343729555607,-0.42692604660987854,0.9627126412379245,0.9326395724933202,0.992785709982529,0.000287019578133485,0.000287019578133485,0.00029813629305252995,0.005896241034425803,0.0055794280296923866,tenney_cumulative_l24_ms256_ner_lr1e4_e3_noearly
