task,layer,scalar_mix_weight,scalar_mix_logit,cumulative_major,cumulative_f1_micro,cumulative_acc,differential_from_previous,contextual_differential_from_previous,normalized_differential_all,normalized_differential_contextual,positive_normalized_differential,cumulative_run_name
semeval,0,0.03379161283373833,-0.15036259591579437,0.5904527466924776,0.22730739893211288,0.9535980944528423,0.5904527466924776,0.0,0.7901208533986563,0.0,0.0,tenney_cumulative_l00_ms256_semeval_lr1e4_e10_noearly
semeval,1,0.033334068953990936,-0.1639951467514038,0.6280264308059631,0.30007283321194467,0.9559800283999816,0.037573684113485495,0.037573684113485495,0.050279639689000906,0.23956472333339965,0.22948480435501248,tenney_cumulative_l01_ms256_semeval_lr1e4_e10_noearly
semeval,2,0.03300239518284798,-0.17399510741233826,0.6492362046568696,0.34111818825194623,0.9573542210617929,0.0212097738509065,0.0212097738509065,0.028382092740435468,0.13523064677952987,0.12954068565351082,tenney_cumulative_l02_ms256_semeval_lr1e4_e10_noearly
semeval,3,0.033036958426237106,-0.17294837534427643,0.6501661719282148,0.3429781227946366,0.9573542210617929,0.0009299672713452001,0.0009299672713452001,0.0012444459580959225,0.005929345426869369,0.0056798624451261165,tenney_cumulative_l03_ms256_semeval_lr1e4_e10_noearly
semeval,4,0.03330685570836067,-0.164811909198761,0.6588896080935236,0.35969209237228833,0.9580871238147588,0.008723436165308796,0.008723436165308796,0.011673362290399012,0.055619448046318104,0.053279205617764606,tenney_cumulative_l04_ms256_semeval_lr1e4_e10_noearly
semeval,5,0.033485714346170425,-0.15945623815059662,0.6624562424976024,0.36655052264808363,0.9583619623471211,0.0035666344040787834,0.0035666344040787834,0.004772731154013004,0.022740378123790456,0.021783554573827753,tenney_cumulative_l05_ms256_semeval_lr1e4_e10_noearly
semeval,6,0.033834654837846756,-0.14908966422080994,0.6627463950696235,0.3671766342141864,0.9583161559250607,0.00029015257202114064,0.00029015257202114064,0.0003882708635117261,0.0018499735195189727,0.001772134082520724,tenney_cumulative_l06_ms256_semeval_lr1e4_e10_noearly
semeval,7,0.03565685823559761,-0.09663373976945877,0.6771719410140122,0.3947909527073338,0.9595529293206908,0.014425545944388718,0.014425545944388718,0.019303703363511088,0.09197532806905129,0.08810537659186164,tenney_cumulative_l07_ms256_semeval_lr1e4_e10_noearly
semeval,8,0.039321593940258026,0.0011985886376351118,0.6838327478077644,0.4076086956521739,0.9600567999633549,0.006660806793752139,0.006660806793752139,0.008913232054019095,0.04246840240373854,0.040681503024669795,tenney_cumulative_l08_ms256_semeval_lr1e4_e10_noearly
semeval,9,0.0450461246073246,0.13711170852184296,0.6961072919726417,0.43124165554072097,0.9609729284045623,0.012274544164877277,0.012274544164877277,0.01642531661502031,0.07826083191685305,0.074967931217925,tenney_cumulative_l09_ms256_semeval_lr1e4_e10_noearly
semeval,10,0.044765014201402664,0.13085170090198517,0.7011670235370187,0.4409030544488712,0.9614309926251661,0.005059731564377001,0.005059731564377001,0.0067707355821579876,0.03226016348836556,0.030902785700569563,tenney_cumulative_l10_ms256_semeval_lr1e4_e10_noearly
semeval,11,0.04509184509515762,0.1381261795759201,0.7058327589401385,0.449868073878628,0.961797444001649,0.004665735403119875,0.004665735403119875,0.006243505274716619,0.029748097301805256,0.028496417144597525,tenney_cumulative_l11_ms256_semeval_lr1e4_e10_noearly
semeval,12,0.045130014419555664,0.13897232711315155,0.7205296492153692,0.47797927461139894,0.9630800238193394,0.01469689027523069,0.01469689027523069,0.01966680577170669,0.09370538278899589,0.089762637575055,tenney_cumulative_l12_ms256_semeval_lr1e4_e10_noearly
semeval,13,0.04535464569926262,0.1439373642206192,0.7234585761451228,0.4835164835164835,0.9634006687737621,0.0029289269297535503,0.0029289269297535503,0.003919375865795536,0.018674441597764935,0.017888696285797083,tenney_cumulative_l13_ms256_semeval_lr1e4_e10_noearly
semeval,14,0.0454258918762207,0.14550699293613434,0.7237920064333626,0.4841833440929632,0.9634006687737621,0.00033343028823984433,0.00033343028823984433,0.00044618341665575683,0.0021259063793663264,0.0020364567986372534,tenney_cumulative_l14_ms256_semeval_lr1e4_e10_noearly
semeval,15,0.04581582546234131,0.15405438840389252,0.7307193037517569,0.49744245524296676,0.9639961522605469,0.006927297318394254,0.006927297318394254,0.009269839287929632,0.04416750991244162,0.04230911893066532,tenney_cumulative_l15_ms256_semeval_lr1e4_e10_noearly
semeval,16,0.0464094877243042,0.1669287383556366,0.7380149236163416,0.5113924050632911,0.9646374421693922,0.0072956198645847126,0.0072956198645847126,0.009762714164288774,0.04651588460492757,0.04455868347154889,tenney_cumulative_l16_ms256_semeval_lr1e4_e10_noearly
semeval,17,0.04639717936515808,0.16666346788406372,0.7387555115937914,0.5126903553299492,0.9648206678576337,0.0007405879774498025,0.0007405879774498025,0.0009910259678480005,0.004721888686399185,0.004523210622610855,tenney_cumulative_l17_ms256_semeval_lr1e4_e10_noearly
semeval,18,0.04613707214593887,0.16104158759117126,0.7391869247089314,0.5135989879822896,0.9647748614355732,0.00043141311514005576,0.00043141311514005576,0.0005773002168442217,0.002750631619161186,0.0026348961157250292,tenney_cumulative_l18_ms256_semeval_lr1e4_e10_noearly
semeval,19,0.046085480600595474,0.15992270410060883,0.7462190591843687,0.5269761606022585,0.9654619577664788,0.007032134475437268,0.007032134475437268,0.009410128285575463,0.044835937433315355,0.04294942171280632,tenney_cumulative_l19_ms256_semeval_lr1e4_e10_noearly
semeval,20,0.04651660844683647,0.16923420131206512,0.747294219805339,0.5290806754221389,0.9655077641885392,0.0010751606209703501,0.0010751606209703501,0.0014387380398183948,0.006855078568387814,0.00656664446340624,tenney_cumulative_l20_ms256_semeval_lr1e4_e10_noearly
semeval,21,0.041051048785448074,0.04424111917614937,0.7445377286690547,0.5236593059936908,0.9654161513444185,-0.0027564911362844002,-0.0027564911362844002,-0.0036886290074643322,-0.017575014322269586,0.0,tenney_cumulative_l21_ms256_semeval_lr1e4_e10_noearly
semeval,22,0.03484392911195755,-0.11969631165266037,0.7488258449579313,0.5319148936170213,0.9657367962988411,0.004288116288876598,0.004288116288876598,0.005738190093312376,0.027340448949946517,0.026190072941269075,tenney_cumulative_l22_ms256_semeval_lr1e4_e10_noearly
semeval,23,0.03382962942123413,-0.14923816919326782,0.7514268529658548,0.5369794903666874,0.9658742155650222,0.002601008007923511,0.002601008007923511,0.0034805675448701338,0.016583674944520913,0.015885900675092927,tenney_cumulative_l23_ms256_semeval_lr1e4_e10_noearly
semeval,24,0.03332950547337532,-0.16413216292858124,0.747294219805339,0.5290806754221389,0.9655077641885392,-0.0041326331605157085,-0.0041326331605157085,-0.005530128630718178,-0.026349109572197844,0.0,tenney_cumulative_l24_ms256_semeval_lr1e4_e10_noearly
