task,run_name,layer,weight_module_count,weight_max_abs_max,weight_p999_abs_mean,weight_top_0p1pct_abs_share_mean,activation_module_count,activation_max_abs_max,activation_ratio_abs_gt_6p0_mean,activation_ratio_abs_gt_8p0_mean,activation_max_abs_over_abs_mean_mean
dep,formal_e3_ms256_retry1,0,6,2.806293249130249,0.11743630717198054,0.005825043002302777,7,112.6024169921875,0.018336895533970422,0.0030137864370194697,82.27463303709807
dep,formal_e3_ms256_retry1,1,6,1.7162644863128662,0.1126825859149297,0.005550081581747276,7,93.62226867675781,0.00777508190699986,0.0009107809218149336,78.68544621683432
dep,formal_e3_ms256_retry1,2,6,1.5458303689956665,0.11118724445501964,0.005329886119789466,7,91.1944351196289,0.0022466674683586,0.0005769139244442894,75.27467115981607
dep,formal_e3_ms256_retry1,3,6,0.6138864159584045,0.11590954785545667,0.005184437347383194,7,81.84396362304688,0.0009974161783854166,0.0005486881922161769,67.78535498490882
dep,formal_e3_ms256_retry1,4,6,3.235551595687866,0.11574053267637889,0.0051467941813092555,7,81.53179931640625,0.0009446053277878534,0.0006183881608266679,74.16233638205244
dep,formal_e3_ms256_retry1,5,6,3.127681255340576,0.1162453293800354,0.005138616306978936,7,72.82990264892578,0.0008697767106313554,0.0002633609468974764,70.22131295538041
dep,formal_e3_ms256_retry1,6,6,3.6038098335266113,0.11548655852675438,0.005090052941108504,7,78.81559753417969,0.0009113448006766183,0.0003834156762985956,57.88179761463004
dep,formal_e3_ms256_retry1,7,6,2.8297109603881836,0.11357592418789864,0.0050554235431225164,7,67.80257415771484,0.0009633465418739924,0.0004206929888044085,97.69782423313707
dep,formal_e3_ms256_retry1,8,6,2.341597557067871,0.11262374371290207,0.005053331819266634,7,68.13021850585938,0.0007896680680532304,0.0005680069090828063,62.803437211771644
dep,formal_e3_ms256_retry1,9,6,2.746828079223633,0.11883969604969025,0.005329434233995046,7,65.34416961669922,0.0006839404030451699,0.000573003859747024,59.06470384927005
dep,formal_e3_ms256_retry1,10,6,4.286161422729492,0.1205938532948494,0.005412603119835367,7,63.65007400512695,0.0007179744659908235,0.0005902562822614397,52.327898732696944
dep,formal_e3_ms256_retry1,11,6,5.511744976043701,0.12101524944106738,0.0051276219497818154,7,73.95744323730469,0.0007766776614718966,0.0005914438338506789,63.13291443209569
dep,formal_e3_ms256_retry1,12,6,4.966220855712891,0.12177012115716934,0.0051744963952871995,7,74.02445983886719,0.0007115417056613499,0.0005692050570533389,59.702479647695554
dep,formal_e3_ms256_retry1,13,6,4.609590530395508,0.1195245732863744,0.005075109283498966,7,80.312744140625,0.0007386139460972378,0.0005775148906405009,60.85239579331402
dep,formal_e3_ms256_retry1,14,6,3.1580963134765625,0.11891901989777882,0.005052147546005856,7,75.33306121826172,0.0008202863118005177,0.0006886815267895894,54.54823523491529
dep,formal_e3_ms256_retry1,15,6,2.6500895023345947,0.11654619127511978,0.005075493846828304,7,56.15774917602539,0.0006466373564705017,0.000515497298467727,43.685621004548864
dep,formal_e3_ms256_retry1,16,6,1.258409857749939,0.11638424297173817,0.005010752620121024,7,64.74819946289062,0.0007171850355844651,0.0005699399917844742,49.56057144084063
dep,formal_e3_ms256_retry1,17,6,4.450798034667969,0.11518209055066109,0.005058099881848276,7,65.52111053466797,0.0007598006536090185,0.0006788783603244357,116.7946256434982
dep,formal_e3_ms256_retry1,18,6,5.438570022583008,0.11369164660573006,0.005002950575063239,7,61.02232360839844,0.0007218360900878905,0.0005529312860398065,101.34429769335476
