task,run_name,layer,module,module_name,shape,numel,mean,std,abs_mean,max_abs,p99_abs,p999_abs,p9999_abs,top_0p1pct_abs_share,top_1pct_abs_share,max_abs_over_abs_mean,p999_abs_over_p99_abs,ratio_abs_gt_3p0sigma,ratio_abs_gt_4p0sigma,ratio_abs_gt_5p0sigma,top_out_channel,top_out_channel_max_abs,median_out_channel_max_abs,top_in_channel,top_in_channel_max_abs,median_in_channel_max_abs,top_out_channel_over_median,top_in_channel_over_median
ner,formal_e3_ms256_tner,0,attn_k,attention.self.key,1024x1024,1048576,3.063088661292568e-05,0.034774284809827805,0.027247963473200798,0.7188918590545654,0.09367859363555908,0.13115952908992767,0.2146015465259552,0.006101189697995829,0.04080792307473033,26.383324381714527,1.4001013892264642,0.004885673522949219,0.0006866455078125,0.00023555755615234375,347,0.7188918590545654,0.11943943798542023,15,0.7188918590545654,0.12528586387634277,6.018881796331956,5.738012548359903
ner,formal_e3_ms256_tner,0,attn_out,attention.output.dense,1024x1024,1048576,-1.095317020372022e-05,0.025158153846859932,0.01935305818915367,0.9967795610427856,0.07090826332569122,0.1141238808631897,0.18054227530956268,0.007472475856570691,0.04634031703659274,51.50501545029333,1.6094581295695158,0.007477760314941406,0.0018777847290039062,0.0006008148193359375,136,0.9967795610427856,0.08487801253795624,1009,0.9967795610427856,0.11202285438776016,11.743672256664116,8.898001809456622
ner,formal_e3_ms256_tner,0,attn_q,attention.self.query,1024x1024,1048576,-6.508120350190438e-06,0.03515457734465599,0.02767828293144703,0.5000054240226746,0.09373080730438232,0.13031397759914398,0.19883038103580475,0.005729795641422603,0.03984561983732473,18.064900386381524,1.3903003862535945,0.0044918060302734375,0.0005893707275390625,0.0001773834228515625,960,0.5000054240226746,0.1282074898481369,136,0.5000054240226746,0.1249040961265564,3.8999704667405637,4.003114705830422
ner,formal_e3_ms256_tner,0,attn_v,attention.self.value,1024x1024,1048576,3.4630083973752335e-06,0.026091257110238075,0.02055627666413784,0.1555463671684265,0.06961703300476074,0.0921192467212677,0.1116277202963829,0.004913753043770032,0.03865270231686705,7.566855112423656,1.3232285655576295,0.0042400360107421875,0.00023555755615234375,1.52587890625e-05,330,0.1555463671684265,0.09188351780176163,9,0.1555463671684265,0.09363638609647751,1.6928647366769007,1.6611743965445287
ner,formal_e3_ms256_tner,0,ffn_in,intermediate.dense,4096x1024,4194304,6.117112206993625e-05,0.034782249480485916,0.02748871222138405,0.4098069369792938,0.0921429693698883,0.12049794942140579,0.14827927947044373,0.004853999919703969,0.0381183895529781,14.908189720888284,1.307728090872484,0.0038635730743408203,0.00020599365234375,2.193450927734375e-05,2577,0.4098069369792938,0.12100141495466232,182,0.4098069369792938,0.13512761890888214,3.3867945852769012,3.0327400148716497
ner,formal_e3_ms256_tner,0,ffn_out,output.dense,1024x4096,4194304,-1.6914944353629835e-05,0.03198995813727379,0.02500317618250847,2.8074066638946533,0.08569728583097458,0.11709050834178925,0.17847800254821777,0.005890260426545192,0.040358160157896485,112.28200143062774,1.3663269169659962,0.004654645919799805,0.0005173683166503906,0.00014781951904296875,136,2.8074066638946533,0.13256946206092834,2577,2.8074066638946533,0.11215664446353912,21.17687301623342,25.031122117845722
ner,formal_e3_ms256_tner,1,attn_k,attention.self.key,1024x1024,1048576,3.11516851070337e-05,0.031144501641392708,0.024535423144698143,0.4215650260448456,0.08293307572603226,0.1163262128829956,0.17547127604484558,0.005752132615048713,0.03988683591506606,17.181893442744293,1.402651618363666,0.004569053649902344,0.0006685256958007812,0.0001888275146484375,48,0.4215650260448456,0.11164005100727081,80,0.4215650260448456,0.10810786485671997,3.7761092210302754,3.899485265050456
ner,formal_e3_ms256_tner,1,attn_out,attention.output.dense,1024x1024,1048576,1.5610593209203216e-06,0.025165991857647896,0.019558090716600418,0.9039061665534973,0.06952211260795593,0.10481136292219162,0.15170550346374512,0.0065259955315009185,0.04328915924694553,46.21648297122808,1.507597496543816,0.00635528564453125,0.0012350082397460938,0.0003337860107421875,136,0.9039061665534973,0.08530576527118683,590,0.9039061665534973,0.09807397425174713,10.596073591040204,9.21657527850611
ner,formal_e3_ms256_tner,1,attn_q,attention.self.query,1024x1024,1048576,3.699615626828745e-05,0.03169972449541092,0.025019554421305656,0.3211691081523895,0.08403674513101578,0.1155092865228653,0.17624998092651367,0.005566725509409392,0.03934647387623433,12.836723737929349,1.37450928570333,0.004329681396484375,0.0005321502685546875,0.00016117095947265625,47,0.3211691081523895,0.1154782623052597,234,0.3211691081523895,0.10925335437059402,2.781208356802241,2.9396727450853763
ner,formal_e3_ms256_tner,1,attn_v,attention.self.value,1024x1024,1048576,2.463914643158205e-05,0.027159519493579865,0.021438773721456528,0.1524171233177185,0.0721423402428627,0.09404332935810089,0.11369539797306061,0.004790181105359807,0.03819842925461956,7.109414246262377,1.303580242081278,0.0039424896240234375,0.00019550323486328125,5.7220458984375e-06,194,0.1524171233177185,0.09447294473648071,760,0.1524171233177185,0.09600074589252472,1.6133415100255963,1.5876660321822225
