task,run_name,layer,module,capture_point,sample_count,count,mean,std,abs_mean,abs_std,max_abs,max_abs_over_abs_mean,ratio_abs_gt_1p0,ratio_abs_gt_2p0,ratio_abs_gt_3p0,ratio_abs_gt_4p0,ratio_abs_gt_6p0,ratio_abs_gt_8p0,ratio_abs_gt_10p0
ner,formal_e3_ms256_tner,0,attn_k_input,linear_input,512,104857600,-0.04673495792550966,0.48564696922013023,0.3824260777235031,0.3029644039850464,5.879047393798828,15.373029550692468,0.044303064346313474,0.00040625572204589845,1.2006759643554687e-05,6.322860717773437e-06,0.0,0.0,0.0
ner,formal_e3_ms256_tner,0,attn_out_input,linear_input,512,104857600,-0.003119213105455856,0.15082804339273598,0.10835161197930575,0.10497026410162195,6.2218146324157715,57.422446410894985,0.0004746627807617188,1.3990402221679687e-05,4.940032958984375e-06,4.854202270507812e-06,2.47955322265625e-07,0.0,0.0
ner,formal_e3_ms256_tner,0,attn_q_input,linear_input,512,104857600,-0.04673495792550966,0.48564696922013023,0.3824260777235031,0.3029644039850464,5.879047393798828,15.373029550692468,0.044303064346313474,0.00040625572204589845,1.2006759643554687e-05,6.322860717773437e-06,0.0,0.0,0.0
ner,formal_e3_ms256_tner,0,attn_v_input,linear_input,512,104857600,-0.04673495792550966,0.48564696922013023,0.3824260777235031,0.3029644039850464,5.879047393798828,15.373029550692468,0.044303064346313474,0.00040625572204589845,1.2006759643554687e-05,6.322860717773437e-06,0.0,0.0,0.0
ner,formal_e3_ms256_tner,0,ffn_in_input,linear_input,512,104857600,-0.006412674197636079,1.221275422505523,0.8315500804781913,0.8944714884573584,113.27572631835938,136.22237430753302,0.31985299110412596,0.05636314392089844,0.011284646987915039,0.0030122947692871093,0.0007868576049804688,0.0004986763000488281,0.0003188991546630859
ner,formal_e3_ms256_tner,0,ffn_out_input,linear_input,512,419430400,0.022759058505762368,0.3097188619248578,0.06489863231778145,0.30369707884564723,15.182697296142578,233.94479596733657,0.014720122814178466,0.0046387982368469236,0.002119579315185547,0.0010219311714172363,0.00034538984298706056,0.0001521873474121094,5.905628204345703e-06
ner,formal_e3_ms256_tner,0,gelu_input,intermediate_dense_output,512,419430400,-3.6968498051166536,2.210390958159035,3.7960620284080506,2.0352984415020843,23.284950256347656,6.133975177985338,0.9029507160186767,0.787617745399475,0.6350788450241089,0.4563246965408325,0.14731200456619262,0.019471867084503172,0.0022302818298339843
ner,formal_e3_ms256_tner,1,attn_k_input,linear_input,512,104857600,0.03067680181004107,0.6661719658158025,0.4959773318469524,0.4457943926320309,12.448956489562988,25.099849711285717,0.11019567489624023,0.007823524475097656,0.001806020736694336,0.0012287425994873047,0.00019484519958496094,8.490562438964844e-05,5.4178237915039065e-05
ner,formal_e3_ms256_tner,1,attn_out_input,linear_input,512,104857600,0.0036820586882276986,0.15971230951305465,0.09285281283780933,0.12999974813161783,3.7500758171081543,40.387315176532134,0.0027084636688232424,0.00042188644409179687,2.3984909057617186e-05,0.0,0.0,0.0,0.0
ner,formal_e3_ms256_tner,1,attn_q_input,linear_input,512,104857600,0.03067680181004107,0.6661719658158025,0.4959773318469524,0.4457943926320309,12.448956489562988,25.099849711285717,0.11019567489624023,0.007823524475097656,0.001806020736694336,0.0012287425994873047,0.00019484519958496094,8.490562438964844e-05,5.4178237915039065e-05
ner,formal_e3_ms256_tner,1,attn_v_input,linear_input,512,104857600,0.03067680181004107,0.6661719658158025,0.4959773318469524,0.4457943926320309,12.448956489562988,25.099849711285717,0.11019567489624023,0.007823524475097656,0.001806020736694336,0.0012287425994873047,0.00019484519958496094,8.490562438964844e-05,5.4178237915039065e-05
ner,formal_e3_ms256_tner,1,ffn_in_input,linear_input,512,104857600,0.020323538261000067,1.5405094324790087,0.7952273485064506,1.3195437931162588,93.41046142578125,117.46384427197997,0.2819682693481445,0.04523945808410645,0.008504276275634765,0.003689870834350586,0.0015264701843261718,0.0009764862060546875,0.0009762287139892578
ner,formal_e3_ms256_tner,1,ffn_out_input,linear_input,512,419430400,-0.008707751892507077,0.20849327448959057,0.03633118649944663,0.20548799317224267,11.429252624511719,314.58517394376315,0.003477649688720703,0.001344137191772461,0.0007697606086730957,0.0006279659271240235,0.0004542207717895508,8.406639099121094e-05,8.654594421386718e-07
ner,formal_e3_ms256_tner,1,gelu_input,intermediate_dense_output,512,419430400,-3.434384479522705,1.7000536908845427,3.466045274734497,1.6345364659643609,14.846965789794922,4.283546408934954,0.9316906261444092,0.8091553735733032,0.6042487835884094,0.3638847637176514,0.06298758268356323,0.005757598876953125,0.0006079602241516113
ner,formal_e3_ms256_tner,2,attn_k_input,linear_input,512,104857600,0.0180807825550437,0.6180448583016863,0.4115036417543888,0.46148793526356674,13.248398780822754,32.19509485831046,0.059152774810791016,0.0027790451049804687,0.0009971523284912109,0.0009759140014648438,0.0009686470031738282,0.000928192138671875,0.000775604248046875
ner,formal_e3_ms256_tner,2,attn_out_input,linear_input,512,104857600,0.00011450597126895445,0.11910630290286763,0.08031289417296648,0.08795546334576947,3.653395652770996,45.48952805638945,0.0006445980072021484,3.678321838378906e-05,2.6988983154296876e-06,0.0,0.0,0.0,0.0
