budget	comparison	mean_delta_major	std_delta_major	mean_delta_f1	std_delta_f1	probing_wins
low	probing-inverse	0.1517540315712486	0.06359078591778317	0.282097385792456	0.12033181342681942	4
low	probing-early	0.09861442852498256	0.021339590369425544	0.1819769342433704	0.039774555819429736	4
low	probing-late	-0.005561321663266894	0.0057546973974032505	-0.0101110362016065	0.010469504403314431	1
low	probing-random_s29	0.029032362614868412	0.008090401830420747	0.05310960745155749	0.01488834680567118	4
boundary	probing-inverse	0.086072046535734	0.022338895243198865	0.15845978477980385	0.04138919928507201	4
boundary	probing-early	0.05151356714984551	0.031072510675133867	0.09448369794810357	0.057168426080513965	4
boundary	probing-late	-0.006330814586270911	0.0056229190190525205	-0.011515726808945637	0.010219566774976383	0
boundary	probing-random_s29	0.0012158794157489938	0.009166084302188786	0.0022058416075689258	0.016670815414522012	2
