budget	strategy	seed	major	f1_micro	acc	delta_major_vs_uniform	delta_f1_vs_uniform	measured_bop	bop_error_vs_uniform	run_name
low	uniform	20260807	0.8857046329965306	0.7779888886216599	0.9934203773714012	0.0	0.0	0.002901048962260172	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260807_cal16_dep_e3_retry1
low	probing	20260807	0.4440202918399427	0.02996185344512596	0.8580787302347594	-0.4416843411565879	-0.748027035176534	0.0036661224436108134	0.0007650734813506414	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
low	inverse	20260807	0.34923869784954914	0.03392766968966692	0.6645497260094314	-0.5364659351469814	-0.7440612189319931	0.005322827314322607	0.0024217783520624346	ptq_pg_w4a4_out8_low_inverse_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
low	early	20260807	0.4737092159998624	0.03087364979514133	0.9165447822045835	-0.4119954169966682	-0.7471152388265186	0.003129657574108865	0.00022860861184869317	ptq_pg_w4a4_out8_low_early_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
low	late	20260807	0.4076578918861153	0.03337777805862912	0.7819380057136015	-0.4780467411104153	-0.7446111105630309	0.003517870167762153	0.0006168212055019809	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
low	random_s29	20260807	0.4650654426703952	0.030479574690796905	0.8996513106499935	-0.4206391903261354	-0.7475093139308631	0.0033587366823527765	0.0004576877200926045	ptq_pg_w4a4_out8_low_random_s29_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
