budget	strategy	seed	major	f1_micro	acc	delta_major_vs_uniform	delta_f1_vs_uniform	measured_bop	bop_error_vs_uniform	run_name
low	uniform	20260808	0.9576789698661985	0.9234005929042747	0.9919573468281222	0.0	0.0	0.004058743648313769	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260808_cal16_ner_e3
low	probing	20260808	0.9632021989400662	0.9334781171804919	0.9929262806996405	0.005523229073867708	0.01007752427621722	0.003924305571448631	-0.00013443807686513813	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260808_cal16_ner_e3
low	inverse	20260808	0.8313831882036059	0.6892488954344624	0.9735174809727494	-0.1262957816625926	-0.23415169746981224	0.004108866012256856	5.012236394308714e-05	ptq_pg_w4a4_out8_low_inverse_bopfix2_fixedseed20260808_cal16_ner_e3
low	early	20260808	0.8790218857482588	0.7783913827984034	0.9796523886981143	-0.0786570841179397	-0.1450092101058713	0.0041429543907259055	8.421074241213647e-05	ptq_pg_w4a4_out8_low_early_bopfix2_fixedseed20260808_cal16_ner_e3
low	late	20260808	0.9729341819547281	0.9511698880976602	0.9946984758117959	0.015255212088529646	0.027769295193385557	0.003897174256934273	-0.00016156939137949595	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260808_cal16_ner_e3
low	random_s29	20260808	0.9401657701786833	0.8913613212678633	0.9889702190895033	-0.01751319968751519	-0.032039271636411404	0.00392620677643236	-0.00013253687188140902	ptq_pg_w4a4_out8_low_random_s29_bopfix2_fixedseed20260808_cal16_ner_e3
boundary	uniform	20260808	0.962080278550221	0.9314250509454528	0.9927355061549893	0.0	0.0	0.0050397907911457615	0.0	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260808_cal16_ner_e3
boundary	probing	20260808	0.9634969000406471	0.934007274788606	0.9929865252926883	0.0014166214904260954	0.0025822238431532085	0.004911995353446317	-0.0001277954376994444	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260808_cal16_ner_e3
boundary	inverse	20260808	0.8864887067610631	0.7922506629146598	0.9807267506074663	-0.07559157178915799	-0.13917438803079296	0.005100473379102278	6.068258795651621e-05	ptq_pg_w4a4_out8_boundary_inverse_bopfix2_fixedseed20260808_cal16_ner_e3
boundary	early	20260808	0.9459228975802525	0.9019166829649912	0.9899291121955138	-0.01615738096996855	-0.029508367980461636	0.005169170600713109	0.00012937980956734783	ptq_pg_w4a4_out8_boundary_early_bopfix2_fixedseed20260808_cal16_ner_e3
boundary	late	20260808	0.9756615752003805	0.9561226363135671	0.995200514087194	0.013581296650159502	0.024697585368114283	0.00487494173628797	-0.00016484905485779182	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260808_cal16_ner_e3
boundary	random_s29	20260808	0.9731327842383195	0.9515369703683191	0.9947285981083198	0.011052505688098457	0.020111919422866276	0.004961176110333888	-7.861468081187331e-05	ptq_pg_w4a4_out8_boundary_random_s29_bopfix2_fixedseed20260808_cal16_ner_e3
