seed	budget	probing_bopfix_scale	late_bopfix_scale	target_uniform_measured_bop
20260806	low	1.1129952434283814	1.1125295830767064	0.003915892659244026
20260806	boundary	1.1087597063849222	1.0941179015111375	0.0048647628668976595
20260807	low	1.1040562315663562	1.1385242352851372	0.0037153036038463276
20260807	boundary	1.123835275659248	1.0872022807386044	0.004595745914907504
20260808	low	1.0898274444613971	1.1005161567330715	0.004058743648313769
20260808	boundary	1.0795995531681617	1.0887481006223279	0.0050397907911457615
20260809	low	1.1055221067225165	1.1599198331476606	0.003975536838523377
20260809	boundary	1.0863400395562894	1.1128297364060291	0.004915098485210685
