budget	encoder_block	fixed_probe_representation	probe_raw_major	probe_smoothed_major	probing_weight_ratio_pct	probing_activation_ratio_pct	late_weight_ratio_pct	late_activation_ratio_pct
low	1	L1	0.92290265	0.9249473100000001	0.006628442477635544	0.033142212388177716	0.009649801528706713	0.04824900764353358
low	2	L2	0.92699197	0.9270157566666667	0.007409207706241604	0.037046038531208025	0.01052647876466719	0.05263239382333596
low	3	L3	0.93115265	0.9309107533333334	0.00913769761462507	0.045688488073125345	0.011482801470409086	0.05741400735204544
low	4	L4	0.93458764	0.9351825533333334	0.011500360537670517	0.05750180268835259	0.01252600537716449	0.06263002688582246
low	5	L5	0.93980737	0.9402135933333334	0.01507777154115366	0.0753888577057683	0.013663983576924459	0.0683199178846223
low	6	L6	0.94624577	0.9459922566666666	0.02057985417514788	0.10289927087573941	0.014905346243171221	0.07452673121585611
low	7	L7	0.95192363	0.9501879533333334	0.025795127026064825	0.12897563513032412	0.016259485777194205	0.08129742888597104
low	8	L8	0.95239446	0.9524343233333333	0.02911104502288651	0.14555522511443258	0.01773664787289999	0.08868323936449996
low	9	L9	0.95298488	0.95307585	0.0301339933317531	0.15066996665876548	0.019348009037806996	0.09674004518903499
low	10	L10	0.95384821	0.9551707400000001	0.03373146556901391	0.16865732784506954	0.021105761156764432	0.10552880578382218
low	11	L11	0.95867913	0.9566293166666666	0.036486880118715925	0.18243440059357963	0.023023203738221754	0.11511601869110878
low	12	L12	0.95736061	0.9584368333333333	0.04021577708886913	0.20107888544434566	0.025114844541002518	0.1255742227050126
low	13	L13	0.95927076	0.9589505366666667	0.04134346267479681	0.20671731337398408	0.02739650934294523	0.13698254671472618
low	14	L14	0.96022024	0.96023703	0.04430829704966545	0.22154148524832726	0.029885461681942973	0.14942730840971488
low	15	L15	0.96122009	0.9616588433333333	0.04783293732706182	0.23916468663530913	0.032600533475366684	0.16300266737683342
low	16	L16	0.9635362	0.9620433133333334	0.04883328706865223	0.24416643534326113	0.03556226750616511	0.1778113375308256
low	17	L17	0.96137365	0.9620982533333334	0.04897793331578389	0.24488966657891953	0.0387930728537203	0.19396536426860153
low	18	L18	0.96138491	0.9615308966666666	0.04750459918316812	0.23752299591584064	0.042317394445479585	0.21158697222739792
low	19	L19	0.96183413	0.96165888	0.04783303174598871	0.23916515872994354	0.046161898012226456	0.2308094900611323
low	20	L20	0.9617576	0.9605308933333333	0.04501482671238028	0.2250741335619014	0.050355671846398956	0.25177835923199476
low	21	L21	0.95800095	0.9584326266666666	0.04020667071367046	0.2010333535683523	0.054930446890000324	0.27465223445000164
low	22	L22	0.95553933	0.9548976800000001	0.03323923873494956	0.1661961936747478	0.059920836817331104	0.29960418408665557
low	23	L23	0.95115276	0.9470253566666668	0.021756857565266016	0.1087842878263301	0.06536459992905772	0.3268229996452886
low	24	L24	0.93438398	0.94276837	0.017300865536177226	0.08650432768088613	0.07130292483916066	0.3565146241958033
boundary	1	L1	0.92290265	0.9249473100000001	0.009279619832092795	0.04639809916046398	0.013509246924112378	0.0675462346205619
boundary	2	L2	0.92699197	0.9270157566666667	0.010372667636916732	0.05186333818458366	0.014736551881432641	0.07368275940716322
boundary	3	L3	0.93115265	0.9309107533333334	0.012792501449690356	0.06396250724845179	0.016075356574209984	0.08037678287104993
boundary	4	L4	0.93458764	0.9351825533333334	0.016100158382856302	0.08050079191428151	0.01753579066983705	0.08767895334918527
boundary	5	L5	0.93980737	0.9402135933333334	0.02110842604263857	0.10554213021319286	0.01912890410839651	0.09564452054198255
boundary	6	L6	0.94624577	0.9459922566666666	0.028811176017537497	0.1440558800876875	0.020866750708745142	0.10433375354372573
boundary	7	L7	0.95192363	0.9501879533333334	0.03611240093431575	0.18056200467157876	0.02276247937014806	0.11381239685074032
boundary	8	L8	0.95239446	0.9524343233333333	0.040754586260464375	0.20377293130232188	0.024830433559512945	0.12415216779756476
boundary	9	L9	0.95298488	0.95307585	0.04218668308354041	0.21093341541770205	0.02708625983696505	0.1354312991848253
boundary	10	L10	0.95384821	0.9551707400000001	0.047223035866403654	0.23611517933201825	0.029547026240889247	0.14773513120444626
boundary	11	L11	0.95867913	0.9566293166666666	0.051080533247926184	0.255402666239631	0.03223135142816447	0.16115675714082237
boundary	12	L12	0.95736061	0.9584368333333333	0.05630087669856554	0.28150438349282775	0.035159545546691685	0.17579772773345848
boundary	13	L13	0.95927076	0.9589505366666667	0.057879602555031384	0.289398012775157	0.03835376390608535	0.1917688195304268
boundary	14	L14	0.96022024	0.96023703	0.06203028138444404	0.3101514069222202	0.04183817460923211	0.20919087304616057
boundary	15	L15	0.96122009	0.9616588433333333	0.06696467161706285	0.33482335808531427	0.045639141413050845	0.22819570706525427
boundary	16	L16	0.9635362	0.9620433133333334	0.06836513112657987	0.34182565563289935	0.04978542320201578	0.24892711601007894
boundary	17	L17	0.96137365	0.9620982533333334	0.06856763151608308	0.34283815758041547	0.05430839158369971	0.2715419579184986
boundary	18	L18	0.96138491	0.9615308966666666	0.06650500810455766	0.33252504052278836	0.05924226825270907	0.2962113412635454
boundary	19	L19	0.96183413	0.96165888	0.06696480380071676	0.33482401900358383	0.0646243839189548	0.32312191959477404
boundary	20	L20	0.9617576	0.9605308933333333	0.06301940163286009	0.3150970081643005	0.07049546075936218	0.35247730379681097
boundary	21	L21	0.95800095	0.9584326266666666	0.05628812804755483	0.28144064023777415	0.0768999205301074	0.38449960265053706
boundary	22	L22	0.95553933	0.9548976800000001	0.04653393312368797	0.23266966561843985	0.0838862206706192	0.4194311033530961
boundary	23	L23	0.95115276	0.9470253566666668	0.03045894531450766	0.15229472657253834	0.09150722094237766	0.45753610471188844
boundary	24	L24	0.93438398	0.94276837	0.02422069068013542	0.1211034534006771	0.09982058337657271	0.4991029168828636
