budget	phase	major_mean	major_std	f1_mean	f1_std	fixed_bop_target	bop_error_pct_mean	bop_error_pct_max_abs
low	pilot	0.9665919139293858	0.006934935027236623	0.9396450604631453	0.012631703102549833	0.003916369187481875	-16.119566782993374	18.950292047530038
low	bopfix2	0.9730391711602241	0.0012762313260734034	0.9513710808388327	0.002318779073912726	0.003916369187481875	-4.268837322782618	5.78623140933111
boundary	pilot	0.975702075099046	0.00029040037745034963	0.9562023810152096	0.000529694158453734	0.004853849514540402	-10.72180975386143	15.475037264397141
boundary	bopfix2	0.976098520948835	0.0003569783795913509	0.9569249873562317	0.0006556984804076472	0.004853849514540402	-2.3588019471303316	3.838076393326395
