budget	strategy	major_mean	major_std	f1_mean	delta_major_vs_uniform	wins_vs_uniform	delta_major_vs_probing	wins_vs_probing	max_abs_bop_error
low	uniform	0.8516229161202735	0.0035207572879346195	0.7302945244671971	0.0	0	-0.016640334327061357	0	0.0
low	probing	0.8682632504473349	0.0012357396099593263	0.7610100334859389	0.016640334327061357	4	0.0	0	1.8684480807574892e-05
low	fisher	0.8602042026672387	0.002536071945736595	0.7463462918261636	0.008581286546965272	4	-0.008059047780096085	0	5.412695239060631e-05
low	probefisher	0.8695781420779385	0.0009231161757500355	0.7632962685816936	0.017955225957665077	4	0.0013148916306037206	3	2.6683796326011644e-05
boundary	uniform	0.8734540023398093	0.0023030568951801153	0.770051699425622	0.0	0	2.726080772036399e-06	2	0.0
boundary	probing	0.8734512762590373	0.001722030238379526	0.7701607633192289	-2.726080772036399e-06	2	0.0	0	5.2350057672257214e-05
boundary	fisher	0.8744373144252051	0.001881023067333384	0.7721786460736249	0.0009833120853957877	2	0.0009860381661678241	2	6.951882701650494e-05
boundary	probefisher	0.87339446389939	0.0021084719834070964	0.7703105255267816	-5.9538440419282246e-05	2	-5.681235964724585e-05	2	5.066633106303592e-05
