budget	strategy	seed	major	f1_micro	acc	delta_major_vs_uniform	delta_f1_vs_uniform	measured_bop	bop_error_vs_uniform	run_name
low	uniform	20260809	0.953405782772799	0.915602255747819	0.991209309797779	0.0	0.0	0.003975536838523377	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260809_cal16_ner_e3
low	probing	20260809	0.9637096586696696	0.9344076901328809	0.9930116272064582	0.010303875896870651	0.018805434385061992	0.003823576321862827	-0.00015196051666054944	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260809_cal16_ner_e3
low	inverse	20260809	0.8723414718624873	0.765929203539823	0.9787537401851517	-0.08106431091031163	-0.14967305220799598	0.004041162649490909	6.562581096753242e-05	ptq_pg_w4a4_out8_low_inverse_bopfix2_fixedseed20260809_cal16_ner_e3
low	early	20260809	0.8871642361003412	0.7935515177656763	0.9807769544350061	-0.06624154667245774	-0.12205073798214261	0.004084684323272372	0.0001091474847489957	ptq_pg_w4a4_out8_low_early_bopfix2_fixedseed20260809_cal16_ner_e3
low	late	20260809	0.9632084790328507	0.9334906773660608	0.9929262806996405	0.009802696260051702	0.01788842161824189	0.0038571299038598354	-0.00011840693466354116	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260809_cal16_ner_e3
low	random_s29	20260809	0.9227412806347746	0.8593287769050291	0.98615378436452	-0.030664502138024408	-0.05627347884278988	0.0038375304587047582	-0.00013800637981861838	ptq_pg_w4a4_out8_low_random_s29_bopfix2_fixedseed20260809_cal16_ner_e3
boundary	uniform	20260809	0.9614982067097404	0.9303562945368171	0.9926401188826636	0.0	0.0	0.004915098485210685	0.0	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260809_cal16_ner_e3
boundary	probing	20260809	0.9642344686771378	0.9353468617272298	0.9931220756270458	0.002736261967397402	0.004990567190412687	0.004817055355542996	-9.804312966768883e-05	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260809_cal16_ner_e3
boundary	inverse	20260809	0.90329166507687	0.8234116531450848	0.9831716770086552	-0.05820654163287042	-0.10694464139173232	0.005011878982410746	9.678049720006094e-05	ptq_pg_w4a4_out8_boundary_inverse_bopfix2_fixedseed20260809_cal16_ner_e3
boundary	early	20260809	0.9310643772117208	0.8746546093946245	0.987474145028817	-0.03043382949801965	-0.05570168514219265	0.005055981206702588	0.0001408827214919037	ptq_pg_w4a4_out8_boundary_early_bopfix2_fixedseed20260809_cal16_ner_e3
boundary	late	20260809	0.9740229428664253	0.9531566353764035	0.9948892503564472	0.012524736156684924	0.022800340839586375	0.004768132508912127	-0.0001469659762985574	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260809_cal16_ner_e3
boundary	random_s29	20260809	0.9668987207204995	0.9401934090695709	0.993604032371428	0.005400514010759139	0.009837114532753821	0.004853493113046114	-6.160537216457103e-05	ptq_pg_w4a4_out8_boundary_random_s29_bopfix2_fixedseed20260809_cal16_ner_e3
