budget	strategy	seed	major	f1_micro	acc	delta_major_vs_uniform	delta_f1_vs_uniform	measured_bop	bop_error_vs_uniform	run_name
low	uniform	20260806	0.9623862708287196	0.9319818112921561	0.9927907303652831	0.0	0.0	0.003915892659244026	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260806_cal16_ner_e3
low	probing	20260806	0.971855352598364	0.9492230854605993	0.9944876197361286	0.009469081769644339	0.017241274168443232	0.0037984342714230943	-0.00011745838782093202	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260806_cal16_ner_e3
low	inverse	20260806	0.8292449860903202	0.6852486122593598	0.9732413599212804	-0.13314128473839948	-0.24673319903279622	0.003999594585289988	8.370192604596153e-05	ptq_pg_w4a4_out8_low_inverse_bopfix2_fixedseed20260806_cal16_ner_e3
low	early	20260806	0.8564911473962944	0.736347156129617	0.9766351386629717	-0.10589512343242524	-0.19563465516253908	0.004016295446160639	0.0001004027869166129	ptq_pg_w4a4_out8_low_early_bopfix2_fixedseed20260806_cal16_ner_e3
low	late	20260806	0.9737036373200054	0.9525782688766115	0.9948290057633994	0.011317366491285785	0.020596457584455385	0.003793861167078782	-0.0001220314921652442	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260806_cal16_ner_e3
low	random_s29	20260806	0.9461815111021485	0.9023937469467513	0.9899692752575456	-0.016204759726571094	-0.02958806434540473	0.0037773306401333163	-0.00013856201911071004	ptq_pg_w4a4_out8_low_random_s29_bopfix2_fixedseed20260806_cal16_ner_e3
boundary	uniform	20260806	0.9727753646655739	0.9508773554331219	0.994673373898026	0.0	0.0	0.0048647628668976595	0.0	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260806_cal16_ner_e3
boundary	probing	20260806	0.9744867139190796	0.9539837698266322	0.9949896580115268	0.0017113492535056896	0.003106414393510337	0.004860819201666368	-3.943665231291235e-06	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260806_cal16_ner_e3
boundary	inverse	20260806	0.8812896417920648	0.7825754680932365	0.980003815490893	-0.09148572287350909	-0.16830188733988538	0.004937256112717781	7.249324582012193e-05	ptq_pg_w4a4_out8_boundary_inverse_bopfix2_fixedseed20260806_cal16_ner_e3
boundary	early	20260806	0.9013795630432588	0.8198987128086094	0.9828604132779083	-0.07139580162231507	-0.13097864262451253	0.004936191258879793	7.14283919821335e-05	ptq_pg_w4a4_out8_boundary_early_bopfix2_fixedseed20260806_cal16_ner_e3
boundary	late	20260806	0.974484145507724	0.9539987145349371	0.9949695764805109	0.0017087808421500927	0.003121359101815213	0.004723212597598622	-0.00014155026929903777	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260806_cal16_ner_e3
boundary	random_s29	20260806	0.9682201347323038	0.9426103198692505	0.9938299495953572	-0.004555229933270066	-0.008267035563871428	0.004820946107786851	-4.381675911080841e-05	ptq_pg_w4a4_out8_boundary_random_s29_bopfix2_fixedseed20260806_cal16_ner_e3
