strategy	seed_count	mean_major	std_major	mean_delta_major_vs_uniform	std_delta_major_vs_uniform	wins_vs_uniform	mean_measured_bop	max_abs_bop_error_vs_uniform
uniform	4	0.8516229161202735	0.004065420335880779	0.0	0.0	0	0.005387634317086787	0.0
probing	4	0.8682632504473349	0.0014269091929166005	0.016640334327061357	0.00515831339126717	4	0.005388070234677869	1.8684480807574892e-05
inverse	4	0.8328875450094237	0.030107546943117357	-0.018735371110849747	0.02894557516910451	0	0.005385449400391982	1.4903188943822532e-05
early	4	0.8539479493001849	0.002572330578901049	0.0023250331799115065	0.0037840583856233955	3	0.005379422478121202	2.855922526461257e-05
late	4	0.8438099043413309	0.004917290363278728	-0.007813011778942613	0.0020667536907363793	0	0.005384460885417871	1.2286648095108203e-05
random_s29	4	0.8595112237601986	0.0023303855990972054	0.00788830763992518	0.0036600553260809415	4	0.005397357883473064	3.0090960692740615e-05
