budget	strategy	seed	major	f1_micro	acc	delta_major_vs_uniform	delta_f1_vs_uniform	measured_bop	bop_error_vs_uniform	run_name
low	uniform	20260808	0.8921473797500419	0.7905693145861585	0.9937254449139253	0.0	0.0	0.003210532107224927	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260808_cal16_dep_e3_retry1
low	probing	20260808	0.39777445053749927	0.03075811468500248	0.7647907863899961	-0.4943729292125426	-0.7598111999011561	0.007909333286792736	0.004698801179567809	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
low	inverse	20260808	0.3803068985741906	0.033482458443578195	0.727131338704803	-0.5118404811758512	-0.7570868561425803	0.0062335515017587105	0.0030230193945337833	ptq_pg_w4a4_out8_low_inverse_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
low	early	20260808	0.42840781392911076	0.03300211251075816	0.8238135153474634	-0.4637395658209311	-0.7575672020754004	0.003101518613050821	-0.00010901349417410597	ptq_pg_w4a4_out8_low_early_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
low	late	20260808	0.4032937210358168	0.03361186458162665	0.7729755774900069	-0.4888536587142251	-0.7569574500045319	0.004025451475618658	0.0008149193683937312	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
low	random_s29	20260808	0.3711867511468293	0.033333096525315964	0.7090404057683426	-0.5209606286032126	-0.7572362180608425	0.0027636323462322384	-0.00044689976099268874	ptq_pg_w4a4_out8_low_random_s29_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
