run_name	weight_target_ratio	activation_target_ratio	weight_actual_ratio	activation_actual_ratio	major	acc	f1_micro	normalized_bop_overhead
ptq_oa_w4a4_dualout16_w0p1_a0p5_ms256_semeval_e10	0.001	0.005	0.0010000864664713542	0.004716129087197533	0.8675851009250604	0.9755851770418212	0.7595850248082995	0.016845824565627564
ptq_oa_w4a4_dualout16_w0p1_a1_ms256_semeval_e10	0.001	0.01	0.0010000864664713542	0.009670297601482454	0.8761117509220495	0.9773258210801155	0.7748976807639836	0.031624382465067644
ptq_oa_w4a4_dualout16_w0p1_a2_ms256_semeval_e10	0.001	0.02	0.0010000864664713542	0.019692143866429892	0.875900425623234	0.9773716275021758	0.7744292237442922	0.061851232227946806
ptq_oa_w4a4_dualout16_w0p1_a4_ms256_semeval_e10	0.001	0.04	0.0010000864664713542	0.039794136188095526	0.8782168834018969	0.9776006596124777	0.7788331071913162	0.12268165078162213
ptq_oa_w4a4_dualout16_w0p1_a6_ms256_semeval_e10	0.001	0.06	0.0010000864664713542	0.05998342757010502	0.8768158436076015	0.9774174339242362	0.7762142532909668	0.18373206369576817
ptq_oa_w4a4_dualout16_w0p25_a0p5_ms256_semeval_e10	0.0025	0.005	0.0024998982747395835	0.004736434710978352	0.8741381658239651	0.9768219504374513	0.7714543812104788	0.021495244546157817
ptq_oa_w4a4_dualout16_w0p25_a1_ms256_semeval_e10	0.0025	0.01	0.0024998982747395835	0.009716012358948164	0.876418012580874	0.9773258210801155	0.7755102040816326	0.036456918615196635
ptq_oa_w4a4_dualout16_w0p25_a2_ms256_semeval_e10	0.0025	0.02	0.0024998982747395835	0.01974995794630038	0.8752211052736647	0.9770967889698136	0.7733454215775158	0.06688438617411137
ptq_oa_w4a4_dualout16_w0p25_a4_ms256_semeval_e10	0.0025	0.04	0.0024998982747395835	0.03983330706298315	0.8769211078687349	0.9773716275021758	0.7764705882352941	0.12790505233106447
ptq_oa_w4a4_dualout16_w0p25_a6_ms256_semeval_e10	0.0025	0.06	0.0024998982747395835	0.060022692944956636	0.8813082164771675	0.9781961430992625	0.7844202898550725	0.18921861360460823
ptq_oa_w4a4_dualout16_w0p5_a0p5_ms256_semeval_e10	0.005	0.005	0.005000114440917969	0.004721619042452014	0.8690559851391708	0.9759058219962439	0.7622061482820977	0.029047795596083344
ptq_oa_w4a4_dualout16_w0p5_a1_ms256_semeval_e10	0.005	0.01	0.005000114440917969	0.009709035900705489	0.876700573896215	0.9775548531904173	0.7758462946020128	0.044131018543718245
ptq_oa_w4a4_dualout16_w0p5_a2_ms256_semeval_e10	0.005	0.02	0.005000114440917969	0.019766937900732057	0.8767141690293603	0.9774174339242362	0.7760109041344844	0.07485245976454054
ptq_oa_w4a4_dualout16_w0p5_a4_ms256_semeval_e10	0.005	0.04	0.005000114440917969	0.03988018237213943	0.878113985250582	0.9776922724565984	0.7785356980445657	0.1363732669292843
ptq_oa_w4a4_dualout16_w0p5_a6_ms256_semeval_e10	0.005	0.06	0.005000114440917969	0.06006533642160188	0.8807192008756786	0.9781961430992625	0.7832422586520947	0.19805617175171097
ptq_oa_w4a4_dualout16_w1_a0p5_ms256_semeval_e10	0.01	0.005	0.010000069936116537	0.004716561183004482	0.8700158525168007	0.9761806605286061	0.7638510445049954	0.04420449555567301
ptq_oa_w4a4_dualout16_w1_a1_ms256_semeval_e10	0.01	0.01	0.010000069936116537	0.009720691226833916	0.8729664058387696	0.9769135632815721	0.769019248395967	0.05953965224093958
ptq_oa_w4a4_dualout16_w1_a2_ms256_semeval_e10	0.01	0.02	0.010000069936116537	0.019731137833801975	0.875182855519425	0.9773258210801155	0.7730398899587345	0.09051401544813219
ptq_oa_w4a4_dualout16_w1_a4_ms256_semeval_e10	0.01	0.04	0.010000069936116537	0.03980614385769162	0.8761914789091669	0.9775090467683569	0.774873911049977	0.1527319991511356
ptq_oa_w4a4_dualout16_w1_a6_ms256_semeval_e10	0.01	0.06	0.010000069936116537	0.05995655115972792	0.8761973109325261	0.9774632403462965	0.7749313815187557	0.21507181225657254
ptq_oa_w4a4_dualout16_w2_a0p5_ms256_semeval_e10	0.02	0.005	0.020000139872233074	0.00469504014380992	0.8725411870556188	0.9765471119050891	0.7685352622061483	0.0744511939125484
ptq_oa_w4a4_dualout16_w2_a1_ms256_semeval_e10	0.02	0.01	0.020000139872233074	0.009655578704246263	0.8762030118046558	0.9774174339242362	0.7749885896850753	0.09007299314237886
ptq_oa_w4a4_dualout16_w2_a2_ms256_semeval_e10	0.02	0.02	0.020000139872233074	0.019643743921598525	0.8786126669354648	0.9779213045669003	0.7793040293040293	0.1217849137653399
ptq_oa_w4a4_dualout16_w2_a4_ms256_semeval_e10	0.02	0.04	0.020000139872233074	0.03970546454296653	0.8809246998894998	0.9782877559433832	0.7835616438356164	0.18555686772022192
ptq_oa_w4a4_dualout16_w2_a6_ms256_semeval_e10	0.02	0.06	0.020000139872233074	0.05990155691527606	0.8816292162023154	0.9784251752095644	0.7848332571950662	0.24973327749365049
ptq_oa_w4a4_dualout16_w4_a0p5_ms256_semeval_e10	0.04	0.005	0.039999961853027344	0.004690013635061345	0.8691828243711386	0.9758600155741834	0.7625056331680937	0.1351416634056469
ptq_oa_w4a4_dualout16_w4_a1_ms256_semeval_e10	0.04	0.01	0.039999961853027344	0.009672496661071225	0.8702839828978497	0.9763180797947872	0.764249886000912	0.1516536684207328
ptq_oa_w4a4_dualout16_w4_a2_ms256_semeval_e10	0.04	0.02	0.039999961853027344	0.019689506664827945	0.8779159760647423	0.9776006596124777	0.7782312925170068	0.18513539194473655
ptq_oa_w4a4_dualout16_w4_a4_ms256_semeval_e10	0.04	0.04	0.039999961853027344	0.039829677579768706	0.8754262225392054	0.9770967889698136	0.7737556561085973	0.25259895508994856
ptq_oa_w4a4_dualout16_w4_a6_ms256_semeval_e10	0.04	0.06	0.039999961853027344	0.06004293890643791	0.8769173337421634	0.9774174339242362	0.7764172335600907	0.32027291737607366
