budget	strategy	seed	major	f1_micro	acc	delta_major_vs_uniform	delta_f1_vs_uniform	measured_bop	bop_error_vs_uniform	run_name
low	uniform	20260807	0.9147154396594239	0.8445271702600693	0.9849037090587787	0.0	0.0	0.0037153036038463276	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260807_cal16_ner_e3
low	probing	20260807	0.9609081967406632	0.9292967637847585	0.992519629696568	0.046192757081239266	0.08476959352468916	0.003568996907471186	-0.0001463066963751417	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260807_cal16_ner_e3
low	inverse	20260807	0.7196896345073552	0.4775894021552612	0.9617898668594493	-0.1950258051520687	-0.3669377681048081	0.0038762580525873416	0.000160954448741014	ptq_pg_w4a4_out8_low_inverse_bopfix2_fixedseed20260807_cal16_ner_e3
low	early	20260807	0.8425404236039383	0.7102078628915524	0.9748729843163243	-0.0721750160554856	-0.13431930736851694	0.0038714572565833674	0.0001561536527370398	ptq_pg_w4a4_out8_low_early_bopfix2_fixedseed20260807_cal16_ner_e3
low	late	20260807	0.9720743952942463	0.9496109670248241	0.9945378235636685	0.057358955634822406	0.10508379676475477	0.003623479104468228	-9.182449937809953e-05	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260807_cal16_ner_e3
low	random_s29	20260807	0.9344573945736829	0.880883381632857	0.9880314075145089	0.019741954914259008	0.03635621137278766	0.0035798727110709634	-0.00013543089277536424	ptq_pg_w4a4_out8_low_random_s29_bopfix2_fixedseed20260807_cal16_ner_e3
boundary	uniform	20260807	0.963225038751752	0.9335037152728477	0.9929463622306565	0.0	0.0	0.004595745914907504	0.0	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260807_cal16_ner_e3
boundary	probing	20260807	0.9714913079461696	0.9485502203665043	0.9944323955258348	0.00826626919441753	0.01504650509365657	0.00447288629798788	-0.00012285961691962423	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260807_cal16_ner_e3
boundary	inverse	20260807	0.8583511908101003	0.7398112034367758	0.9768911781834247	-0.10487384794165178	-0.19369251183607195	0.004718776523763498	0.00012303060885599394	ptq_pg_w4a4_out8_boundary_inverse_bopfix2_fixedseed20260807_cal16_ner_e3
boundary	early	20260807	0.88928828414842	0.797483329748333	0.9810932385485069	-0.07393675460333204	-0.13602038552451468	0.004748264150427504	0.00015251823552000013	ptq_pg_w4a4_out8_boundary_early_bopfix2_fixedseed20260807_cal16_ner_e3
boundary	late	20260807	0.9748639853535879	0.9546730477198472	0.9950549229873286	0.011638946601835842	0.021169332446999478	0.00448858601628075	-0.00010715989862675364	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260807_cal16_ner_e3
boundary	random_s29	20260807	0.9605942332289152	0.9287240609715561	0.9924644054862742	-0.0026308055228367877	-0.004779654301291569	0.004518131543175522	-7.761437173198216e-05	ptq_pg_w4a4_out8_boundary_random_s29_bopfix2_fixedseed20260807_cal16_ner_e3
